Areas;Unidade;2022;2021;2020;2019;2018;;;;
5814: Edição de revistas e de outras publicações periódicas;1000 euros;-;34 520;35 907;35 978;37 533;;;;
5821: Edição de jogos de computador;1000 euros;-;7 707;2 699;795;868;;;;
5911: Produção de filmes, de vídeos e de programas de televisão;1000 euros;-;62 411;55 275;54 303;48 933;;;;
5912: Atividades técnicas de pós-produção para filmes, vídeos e programas de televisão;1000 euros;-;5 410;4 425;4 078;3 757;;;;
5913: Distribuição de filmes, de vídeos e de programas de televisão;1000 euros;-;4 286;4 510;4 435;4 673;;;;
5914: Projeção de filmes e de vídeos;1000 euros;-;10 383;10 802;13 709;12 462;;;;
5920: Atividades de gravação de som e edição de música;1000 euros;-;10 508;10 481;9 089;8 586;;;;
6010: Atividades de rádio;1000 euros;-;20 480;21 083;22 913;21 557;;;;
6020: Atividades de televisão;1000 euros;-;79 000;75 030;74 314;72 537;;;;
6391: Atividades de agências de notícias;1000 euros;-;12 005;11 672;13 199;12 283;;;;
7111: Atividades de arquitetura;1000 euros;-;127 120;113 005;108 573;90 309;;;;
7311: Agências de publicidade;1000 euros;-;186 046;167 205;168 384;154 522;;;;
7410: Atividades de design;1000 euros;-;79 502;72 437;67 869;61 402;;;;
7420: Atividades fotográficas;1000 euros;-;16 641;17 486;18 391;17 298;;;;
7430: Atividades de tradução e interpretação;1000 euros;-;17 456;16 579;16 235;14 948;;;;
7722: Aluguer de videocassetes e discos;1000 euros;-;99;98;76;75;;;;
8552: Ensino de atividades culturais;1000 euros;-;5 977;5 488;5 937;5 500;;;;
9001: Atividades das artes do espetáculo;1000 euros;-;30 953;29 464;28 452;24 266;;;;
9002: Atividades de apoio às artes do espetáculo;1000 euros;-;19 355;18 279;16 914;14 557;;;;
9003: Criação artística e literária;1000 euros;-;9 068;7 955;8 427;6 992;;;;
9004: Exploração de salas de espetáculos e atividades conexas;1000 euros;-;1 584;1 843;1 384;1 234;;;;
9101: Atividades das bibliotecas e arquivos;1000 euros;-;3 880;3 779;2 273;1 591;;;;
9102: Atividades dos museus;1000 euros;-;16 163;13 076;12 959;10 369;;;;
9103: Atividades dos sítios e monumentos históricos;1000 euros;-;6 851;5 430;4 912;4 221;;;;
Em percentagem no total do sector empresarial não financeiro;%;-;2,2;2,3;2,3;2,3;;;;
;;;;;;;;;;
1.4.3. Volume de negócios das empresas ;;;;;;;;;;
Total das atividades culturais e criativas;1000 euros;8 105 938;6 689 878;5 863 403;6 945 154;6 548 074;;;;
1811: Impressão de jornais;1000 euros;12 374;11 806;11 895;18 489;19 099;;;;
1812: Outra impressão;1000 euros;874 948;747 006;661 001;799 003;779 655;;;;
1813: Atividades de preparação da impressão e de produtos media;1000 euros;167 327;149 546;135 601;186 829;188 216;;;;
1814: Encadernação e atividades relacionadas;1000 euros;21 399;18 023;15 859;19 993;20 786;;;;
